,overall_sentiment_score,BTC_sentiment,ETH_sentiment,BTC_relevance,ETH_relevance,timestamp
0,-0.138797,-0.118125,,0.018982,,2022-03-01 12:58:00
1,0.02123,,0.000892,,0.053967,2022-03-02 00:30:00
2,-0.031243,0.006883,,0.063967,,2022-03-02 02:32:00
3,-0.174572,-0.009523,,0.125701,,2022-03-02 08:00:00
4,-0.03647,0.001776,0.001233,0.162677,0.0234,2022-03-02 10:00:00
5,0.03428,-0.052478,-0.052478,0.056394,0.112506,2022-03-02 11:00:00
6,0.109518,0.005555,0.015568,0.132985,0.057211,2022-03-02 19:46:00
7,0.015162,,0.010337,,0.312621,2022-03-02 21:14:00
8,-0.119252,-0.219273,-0.132403,0.150451,0.295599,2022-03-02 23:00:00
9,-0.061908,-0.137061,,0.071061,,2022-03-03 01:18:00
10,-0.015654,-0.041915,,0.088832,,2022-03-03 01:42:00
11,-0.0115485,-0.0797385,0.133847,0.115147,0.031462,2022-03-03 08:00:00
12,-0.228012,-0.183807,,0.042846,,2022-03-03 08:30:00
13,0.015271,0.010098,0.004159,0.22335,0.329551,2022-03-03 10:52:00
14,0.196193,0.065202,,0.222838,,2022-03-03 11:00:00
15,0.006576,0.010474,0.010474,0.360229,0.360229,2022-03-03 11:44:00
16,0.068181,0.012869,0.007242,0.311913,0.181443,2022-03-03 16:59:00
17,-0.04104,-0.566858,,0.008278,,2022-03-03 17:25:00
18,-0.315365,,-0.283008,,0.249744,2022-03-03 20:05:00
19,-0.159127,-0.159329,-0.203051,0.131069,0.065757,2022-03-03 21:29:00
20,-0.019084,,-0.022083,,0.329049,2022-03-03 22:20:00
21,0.02715,,0.005265,,0.062369,2022-03-03 23:14:00
22,0.056907,,0.015093,,0.136849,2022-03-04 00:50:00
23,-0.36950533333333335,-0.39414666666666665,,0.05500333333333333,,2022-03-04 08:00:00
24,-0.054147,,0.005036,,0.068659,2022-03-04 10:37:00
25,-0.117308,-0.30128,-0.233417,0.194008,0.194008,2022-03-04 10:42:00
26,-0.098715,-0.116407,,0.832112,,2022-03-04 11:30:00
27,-0.010611,0.058111,,0.079287,,2022-03-04 12:32:00
28,-0.107241,-0.246756,,0.082036,,2022-03-04 14:01:00
29,0.051684,0.001222,0.001222,0.111929,0.111929,2022-03-04 14:45:00
30,0.054339,0.032801,,0.090202,,2022-03-04 15:24:00
31,0.048122,0.048122,0.048122,0.649995,0.649995,2022-03-04 16:00:00
32,-0.23037049999999998,0.077376,0.004096,0.265859,0.068423,2022-03-04 16:30:00
33,0.125201,0.118783,0.203583,0.364239,0.075468,2022-03-04 17:22:00
34,0.054786,0.052939,0.063126,0.273521,0.055777,2022-03-04 17:36:00
35,0.008269,,-0.01662,,0.11853,2022-03-04 18:36:00
36,-0.12326,-0.034588,,0.179343,,2022-03-04 18:42:00
37,-0.311832,,0.014958,,0.076067,2022-03-04 19:36:00
38,-0.036225,0.121663,,0.722292,,2022-03-04 20:32:00
39,0.176178,0.452456,,0.019463,,2022-03-04 21:35:00
40,0.033246,-0.118101,0.100608,0.085233,0.042678,2022-03-04 22:28:00
41,0.094753,,0.0049,,0.117285,2022-03-04 22:47:00
42,-0.046039,0.020196,,0.225321,,2022-03-04 23:11:00
43,-0.025838,0.096369,,0.068006,,2022-03-05 01:00:00
44,-0.18317499999999998,-0.011229,-0.041009,0.024842,0.022757,2022-03-05 10:00:00
45,-0.146635,-0.135574,-0.199052,0.799407,0.202028,2022-03-05 14:55:00
46,0.09635,-0.135767,-0.158598,0.12034,0.12034,2022-03-05 15:46:00
47,-0.113033,-0.06434,-0.329892,0.480536,0.146025,2022-03-05 18:39:00
48,-0.117464,0.029685,-0.450112,0.051446,0.102679,2022-03-06 11:00:00
49,0.172032,0.027002,-0.062801,0.183569,0.122989,2022-03-06 13:54:00
50,0.1985,0.170835,,0.036643,,2022-03-06 15:02:00
51,-0.361542,0.191436,,0.157958,,2022-03-06 15:18:00
52,0.277901,0.262044,0.177081,0.195557,0.24306,2022-03-06 16:00:00
53,-0.022367,,-0.009214,,0.102318,2022-03-06 16:16:00
54,-0.01428,0.089195,-0.092087,0.174967,0.088017,2022-03-06 16:28:00
55,-0.139475,-0.16216,,0.187783,,2022-03-06 17:01:00
56,-0.31228,0.068935,0.068935,0.052801,0.052801,2022-03-06 18:57:00
57,0.004359,,0.004359,,0.45634,2022-03-06 20:18:00
58,-0.042808,-0.042808,,0.754172,,2022-03-06 21:16:00
59,0.032512,0.023455,,0.525212,,2022-03-06 22:12:00
60,-0.075526,-0.048928,0.000666,0.296582,0.050593,2022-03-07 03:07:00
61,-0.113761,-0.093581,-0.069389,0.266464,0.033942,2022-03-07 05:00:00
62,0.015968,,0.014886,,0.409392,2022-03-07 08:25:00
63,-0.106733,-0.017502,0.001513,0.441315,0.154554,2022-03-07 09:26:00
64,0.186262,0.187057,,0.033913,,2022-03-07 09:42:00
65,-0.111105,-0.051889,-0.24264,0.2767,0.591265,2022-03-07 10:00:00
66,-0.021708,0.11052,-0.021533,0.694388,0.135576,2022-03-07 10:42:00
67,0.013795,,0.011868,,0.940896,2022-03-07 10:55:00
68,0.461918,0.050063,,0.101496,,2022-03-07 10:56:00
69,-0.026373,0.334658,,0.063358,,2022-03-07 11:07:00
70,-0.495652,,-0.151174,,0.047931,2022-03-07 11:45:00
71,-0.209748,-0.321796,,0.133897,,2022-03-07 12:21:00
72,0.006733,-0.009273,,0.160526,,2022-03-07 13:23:00
73,0.021101,0.011264,0.011264,0.217443,0.145981,2022-03-07 13:41:00
74,0.075521,0.020301,0.126129,0.060327,0.487744,2022-03-07 13:45:00
75,-0.115655,-0.084159,-0.000118,0.173291,0.058174,2022-03-07 14:58:00
76,0.043938,0.045251,,0.044743,,2022-03-07 15:00:00
77,-0.115669,-0.345914,,0.08395,,2022-03-07 15:14:00
78,-0.131634,-0.137867,,0.499514,,2022-03-07 15:16:00
79,0.070708,0.058319,,0.032061,,2022-03-07 15:17:00
80,-0.362446,-0.147199,,0.1331,,2022-03-07 15:30:00
81,0.0223,0.129837,0.000547,0.541593,0.11789,2022-03-07 15:49:00
82,-0.029498,0.073777,,0.096477,,2022-03-07 15:52:00
83,0.003802,0.009068,,0.485254,,2022-03-07 15:55:00
84,-0.507907,-0.577437,,0.051254,,2022-03-07 15:57:00
85,-0.102716,0.6416,,0.047009,,2022-03-07 16:08:00
86,-0.00161,,0.009383,,0.331098,2022-03-07 16:10:00
87,-0.349991,-0.128965,,0.139024,,2022-03-07 16:11:00
88,-0.053174,-0.016658,-0.032669,0.544308,0.196371,2022-03-07 16:30:00
89,-0.131634,-0.137867,,0.499514,,2022-03-07 16:50:00
90,-0.0585,,-0.0585,,0.999415,2022-03-07 17:00:00
91,-0.04493283333333334,-0.010412750000000002,0.009498000000000003,0.9621385,0.563912,2022-03-07 17:01:00
92,-0.135968,-0.135968,,0.455322,,2022-03-07 17:08:00
93,0.076617,0.140672,,0.468243,,2022-03-07 17:22:00
94,0.030197,0.083488,,0.040219,,2022-03-07 17:31:00
